,train,validation,test
accuracy,0.41484444444444446,0.4208,0.4178
precision_macro,0.41603674510174526,0.41988303510646147,0.42046984011002586
recall_macro,0.4150488306061577,0.4188274689300743,0.4178
f1_macro,0.41025827442517315,0.4152605258939695,0.413198330407056
